,vendor_name,img,name,carbohydrates,fats,proteins,calories
54,3665605,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/f5/da/21acabd2801407e6fe161e81c2c3.jpg,Комплекс аминокислотный IronMan Amino 2500-3000 для питания спортсменов 72 таблетки,0.0,0.0,3.9,16.6
55,3668253,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/a4/66/c419be34bc93a897e1414542cc21.jpg,"Хлопья Schar кукурузные без глютена, 250г",80.0,1.0,8.0,371.0
56,3460805,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/76/bd/551bf0cde0b112cxdf288f62bebb.jpg,"Подушечки Di&Di амарантовые с шоколадной начинкой без глютена, 250г",78.1,25.4,8.7,453.1
57,3686477,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/81/49/7377f90e646a4da7f2c272888f2d.jpg,"Завтраки Di&Di Ешь здорово амарантовые в глазури без глютена, 250г",57.0,18.0,9.0,350.0
58,3686472,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/5d/ec/8124a0689104d7eeef36a919d089.jpg,"Подушечки Di&Di Умные сладости с клубничной начинкой и стевией амарантовые без глютена, 220г",57.7,21.0,5.3,390.0
59,3686471,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/b5/00/94cf7f368d1bd1f1d7a8d035c957.jpg,"Подушечки Di&Di Умные сладости с кокосовой начинкой и стевией амарантовые без глютена, 220г",57.7,21.0,5.3,390.0
60,4223287,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/55/0b/968f0ab8b321e7f5ab4fa02f85fb.jpg,"Семена льна коричневые Зелёная Линия, 200г",29.0,42.0,18.0,570.0
61,4223286,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/a6/43/46b6373449905aefcedda661b8c4.jpg,"Семена чиа черные Зелёная Линия, 200г",42.0,31.0,17.0,520.0
62,3503744,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/be/eb/0e071fb788c4f03894fdac98c2bb.jpg,"Семена тыквенные Семушка очищенные, 150г",13.1,46.7,29.0,596.0
63,4229916,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/28/9c/ff4e0d52e71bbfd6de6304d1c41e.jpg,"Псиллиум Mute Superfood подорожника, 100г",7.3,0.1,2.9,42.0
64,3604387,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/25/02/95b39ded902b609510834cbe9742.jpg,"Клетчатка Сибирская Клетчатка Витаминная поляна, 280г",5.0,3.0,8.0,80.0
